# 
# This file is written by the ANSYS DesignXplorer add-in and contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: s2
# Creation date: 03/05/2015 3:31:04 AM
# 
# 03/05/2015 3:31:04 AM
# The parameters defined in the project are:
# P1 - H10, P2 - H11_MINUS_H10, P3 - H1_MINUS_H_11, P4 - V6, P5 - V3, P6 - V7, P7 - HALF_HEIGHT, P8 - D2
# 
# The following header line defines the name of the columns by reference to the parameters.
Name, P1, P2, P3, P4, P5, P6, P7, P8
DP 0, 5, 7, 30, 5, 2, 6, 5, 6
# 
# A non parametric change occured and invalidated design point results.
# 03/05/2015 5:17:55 AM
# 
# 
# 03/05/2015 6:02:36 AM
# Parameters have been added and/or removed. The parameters now defined in the project are:
# P1 - H10, P2 - H11_MINUS_H10, P3 - H1_MINUS_H_11, P4 - V6, P5 - V3, P7 - HALF_HEIGHT, P8 - D2, P9 - Safety Factor Minimum, P10 - Solid Mass [kg]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name, P1, P2, P3, P4, P5, P7, P8, P9, P10
DP 14, 0.7, 7.595, 34.653333333333336, 5.7942592592592588, 4.6973333333333338, 5.7026870748299316, 6, 1.6644086408498382, 37.162017680397717
DP 15, 0.7, 7.5983333333333336, 34.453333333333333, 5.9275925925925925, 4.8573333333333339, 5.3679931972789117, 6, 1.7159308770758452, 35.657776743288743
DP 16, 0.7, 7.6016666666666666, 34.853333333333332, 5.70537037037037, 4.2493333333333334, 5.4251360544217686, 6, 1.7350399931375184, 32.510931643980982
DP 17, 0.7, 7.6049999999999995, 34.128333333333337, 5.838703703703704, 4.4093333333333335, 5.4822789115646255, 6, 1.7589583139703682, 33.44319472883025
DP 18, 0.7, 7.6083333333333334, 34.528333333333336, 5.9720370370370368, 4.5693333333333337, 5.5394217687074825, 6, 1.847858648636088, 35.242374804135515
DP 19, 0.7, 7.6116666666666664, 34.328333333333333, 5.6312962962962958, 4.7293333333333338, 5.59656462585034, 6, 1.7927423991924472, 36.220772769227025
DP 20, 0.7, 7.615, 34.728333333333332, 5.7646296296296295, 4.8893333333333331, 5.6537074829931973, 6, 1.7832099385813827, 38.101053201405591
DP 21, 0.7, 7.6183333333333332, 34.228333333333332, 5.8979629629629624, 4.2813333333333334, 5.7108503401360542, 6, 1.7032784598710682, 34.323187248524576
DP 22, 0.7, 7.6216666666666661, 34.62833333333333, 5.67574074074074, 4.4413333333333336, 5.3761564625850333, 6, 1.7368939186705332, 33.182931503089108
DP 23, 0.7, 7.625, 34.428333333333335, 5.8090740740740738, 4.6013333333333337, 5.4332993197278912, 6, 1.7736850299566105, 34.503996526036019
DP 24, 0.7, 7.628333333333333, 34.828333333333333, 5.9424074074074076, 4.7613333333333339, 5.4904421768707481, 6, 1.7946733122007941, 36.32773321956774
DP 25, 0.7, 7.6316666666666668, 34.178333333333335, 5.7201851851851853, 4.9213333333333331, 5.547585034013605, 6, 1.8199112392494849, 37.025165190774231
DP 26, 0.7, 7.635, 34.578333333333333, 5.8535185185185181, 4.1597333333333335, 5.6047278911564629, 6, 1.9072180189095029, 33.096455787565695
DP 27, 0.7, 7.6383333333333336, 34.37833333333333, 5.9868518518518519, 4.3197333333333336, 5.66187074829932, 6, 1.837593194007203, 34.450312638214577
DP 28, 0.7, 7.6416666666666666, 34.778333333333329, 5.6066049382716043, 4.4797333333333338, 5.7190136054421767, 6, 1.6727726982250328, 35.879787100440907
DP 29, 0.7, 7.645, 34.278333333333336, 5.7399382716049381, 4.6397333333333339, 5.3843197278911559, 6, 1.7401558846610461, 34.241948430624113
DP 30, 0.7, 7.6483333333333334, 34.678333333333335, 5.8732716049382718, 4.7997333333333341, 5.4414625850340137, 6, 1.7318277256727954, 36.0525142049673
DP 31, 0.7, 7.6516666666666664, 34.478333333333332, 5.6510493827160495, 4.1917333333333335, 5.4986054421768706, 6, 1.7216449342012727, 32.386534690621026
DP 32, 0.7, 7.655, 34.87833333333333, 5.7843827160493824, 4.3517333333333337, 5.5557482993197276, 6, 1.7912572945993985, 34.172716249734556
DP 33, 0.7, 7.6583333333333332, 34.115833333333335, 5.9177160493827161, 4.5117333333333338, 5.6128911564625845, 6, 1.9547725841011534, 35.087746746201354
DP 34, 0.7, 7.6616666666666662, 34.515833333333333, 5.6954938271604938, 4.671733333333334, 5.6700340136054423, 6, 1.7886495216021836, 36.651748999179048
DP 35, 0.7, 7.665, 34.315833333333337, 5.8288271604938267, 4.8317333333333332, 5.7271768707482993, 6, 1.8767866860066456, 38.032178912411872
DP 36, 0.7, 7.668333333333333, 34.715833333333336, 5.96216049382716, 4.2237333333333336, 5.3924829931972784, 6, 1.7838392708864179, 32.310540510856761
DP 37, 0.7, 7.6716666666666669, 34.215833333333336, 5.6214197530864194, 4.3837333333333337, 5.4496258503401354, 6, 1.7892820708300259, 33.04129333976563
DP 38, 0.7, 7.675, 34.615833333333335, 5.7547530864197531, 4.5437333333333338, 5.5067687074829932, 6, 1.763889619896241, 34.832151792992278
DP 39, 0.7, 7.6783333333333337, 34.415833333333332, 5.888086419753086, 4.703733333333334, 5.56391156462585, 6, 1.7074007788804066, 36.18311711270281
DP 40, 0.7, 7.6816666666666666, 34.81583333333333, 5.6658641975308637, 4.8637333333333332, 5.6210544217687071, 6, 1.8596073914738549, 37.774040416735886
DP 41, 0.7, 7.685, 34.165833333333332, 5.7991975308641974, 4.2557333333333336, 5.6781972789115649, 6, 1.8459350288501279, 33.897053731789931
DP 42, 0.7, 7.6883333333333335, 34.56583333333333, 5.9325308641975312, 4.4157333333333337, 5.7353401360544218, 6, 1.8730350400752158, 35.731412132847225
DP 43, 0.7, 7.6916666666666664, 34.365833333333335, 5.710308641975308, 4.5757333333333339, 5.400646258503401, 6, 1.6867179401776349, 34.07179228653299
DP 44, 0.7, 7.695, 34.765833333333333, 5.8436419753086417, 4.735733333333334, 5.4577891156462579, 6, 1.7409309789903282, 35.882733668992685
DP 45, 0.7, 7.6983333333333333, 34.265833333333333, 5.9769753086419755, 4.8957333333333333, 5.5149319727891157, 6, 1.7278608766722345, 36.984012352783481
DP 46, 0.7, 7.7016666666666662, 34.665833333333332, 5.6362345679012344, 4.2877333333333336, 5.5720748299319727, 6, 1.7299724771904528, 33.657141002072258
DP 47, 0.7, 7.705, 34.465833333333336, 5.7695679012345673, 4.4477333333333338, 5.62921768707483, 6, 1.9789832199315227, 35.013273689641672
DP 48, 0.7, 7.708333333333333, 34.865833333333335, 5.9029012345679011, 4.6077333333333339, 5.6863605442176866, 6, 1.8434309386343208, 36.872982309231112
DP 49, 0.7, 7.7116666666666669, 34.140833333333333, 5.6806790123456787, 4.767733333333334, 5.7435034013605444, 6, 1.8635531458512729, 37.5273882426707
DP 50, 0.7, 7.715, 34.540833333333332, 5.8140123456790125, 4.9277333333333333, 5.3528328474246836, 6, 1.6952799739358997, 36.09199406390676
DP 51, 0.7, 7.7183333333333337, 34.340833333333336, 5.9473456790123453, 4.1661333333333337, 5.4099757045675414, 6, 1.7617243898464225, 31.856358843774672
DP 52, 0.7, 7.7216666666666667, 34.740833333333335, 5.725123456790123, 4.3261333333333338, 5.4671185617103983, 6, 1.8211677591046078, 33.337308797778512
DP 53, 0.7, 7.725, 34.240833333333335, 5.8584567901234568, 4.486133333333334, 5.5242614188532553, 6, 1.789739158357021, 34.446067416555131
DP 54, 0.7, 7.7283333333333335, 34.640833333333333, 5.99179012345679, 4.6461333333333332, 5.5814042759961122, 6, 1.747790453186316, 36.276187860576606
DP 55, 0.7, 7.7316666666666665, 34.44083333333333, 5.611543209876543, 4.8061333333333334, 5.63854713313897, 6, 1.9280933064692996, 37.234247527924957
DP 56, 0.7, 7.735, 34.840833333333329, 5.7448765432098767, 4.1981333333333337, 5.695689990281827, 6, 1.9181701585557587, 34.169915170110926
DP 57, 0.7, 7.7383333333333333, 34.190833333333337, 5.87820987654321, 4.3581333333333339, 5.3609961127308061, 6, 1.7686581167724806, 32.54348206316044
DP 58, 0.7, 7.7416666666666663, 34.590833333333336, 5.6559876543209873, 4.518133333333334, 5.4181389698736631, 6, 1.7116026240511353, 34.03451231478828
DP 59, 0.7, 7.745, 34.390833333333333, 5.789320987654321, 4.6781333333333333, 5.4752818270165209, 6, 1.8017016451959662, 35.369244950108076
DP 60, 0.7, 7.7483333333333331, 34.790833333333332, 5.9226543209876539, 4.8381333333333334, 5.5324246841593778, 6, 1.872280242202716, 37.218323935435421
DP 61, 0.7, 7.7516666666666669, 34.290833333333332, 5.7004320987654316, 4.2301333333333337, 5.5895675413022348, 6, 1.8470577428474144, 33.242479997129557
DP 62, 0.7, 7.755, 34.69083333333333, 5.8337654320987653, 4.3901333333333339, 5.6467103984450926, 6, 1.928917712015658, 35.056015406515712
DP 63, 0.7, 7.7583333333333337, 34.490833333333335, 5.9670987654320991, 4.550133333333334, 5.7038532555879495, 6, 1.957185508572274, 36.434193221032388
DP 64, 0.7, 7.7616666666666667, 34.890833333333333, 5.626358024691358, 4.7101333333333333, 5.3691593780369287, 6, 1.6060731305441054, 35.090029244955744
DP 65, 0.7, 7.765, 34.109583333333333, 5.7596913580246909, 4.8701333333333334, 5.4263022351797856, 6, 1.7463500025405494, 35.951451798099015
DP 66, 0.7, 7.7683333333333335, 34.509583333333332, 5.8930246913580246, 4.2621333333333338, 5.4834450923226434, 6, 1.8064224399209714, 33.067911746518064
DP 67, 0.7, 7.7716666666666665, 34.309583333333336, 5.6708024691358023, 4.4221333333333339, 5.5405879494655, 6, 1.8427562922702307, 34.122345455281959
DP 68, 0.7, 7.775, 34.709583333333335, 5.8041358024691352, 4.5821333333333332, 5.5977308066083573, 6, 1.7363171261223411, 35.950740692977682
DP 69, 0.7, 7.7783333333333333, 34.209583333333335, 5.9374691358024689, 4.7421333333333333, 5.6548736637512143, 6, 1.8452086623949342, 37.075013055726863
DP 70, 0.7, 7.7816666666666663, 34.609583333333333, 5.7152469135802466, 4.9021333333333335, 5.7120165208940721, 6, 1.8354693419403751, 38.685256843535747
DP 71, 0.7, 7.785, 34.40958333333333, 5.84858024691358, 4.2941333333333338, 5.3773226433430512, 6, 1.8069538746433991, 32.460297757029267
DP 72, 0.7, 7.7883333333333331, 34.809583333333329, 5.9819135802469132, 4.4541333333333339, 5.4344655004859082, 6, 1.7987642882544799, 34.23268798420871
DP 73, 0.7, 7.791666666666667, 34.159583333333337, 5.6411728395061722, 4.6141333333333332, 5.491608357628766, 6, 1.8012788754766567, 34.846873990394123
DP 74, 0.7, 7.795, 34.559583333333336, 5.774506172839506, 4.7741333333333333, 5.5487512147716229, 6, 1.8426977968346325, 36.683791163719931
DP 75, 0.7, 7.7983333333333338, 34.359583333333333, 5.90783950617284, 4.9341333333333335, 5.60589407191448, 6, 1.9108646396941673, 38.053294183042816
DP 76, 0.7, 7.8016666666666667, 34.759583333333332, 5.6856172839506174, 4.1725333333333339, 5.6630369290573368, 6, 1.8611543981792487, 33.758546531624
DP 77, 0.7, 7.805, 34.259583333333332, 5.81895061728395, 4.332533333333334, 5.7201797862001946, 6, 1.7405380859604505, 34.902109499341613
DP 78, 0.7, 7.8083333333333336, 34.65958333333333, 5.952283950617284, 4.4925333333333333, 5.3854859086491738, 6, 1.8243327448875177, 34.0100317320573
DP 79, 0.7, 7.8116666666666665, 34.459583333333335, 5.7300617283950617, 4.6525333333333334, 5.4426287657920307, 6, 1.7784871343979041, 35.065596637980484
DP 80, 0.7, 7.815, 34.859583333333333, 5.8633950617283945, 4.8125333333333336, 5.4997716229348876, 6, 1.7805605819720696, 36.906865969678044
DP 81, 0.7, 7.8183333333333334, 34.134583333333332, 5.9967283950617283, 4.2045333333333339, 5.5569144800777455, 6, 1.884970779190031, 33.068607673448028
DP 82, 0.7, 7.8216666666666672, 34.53458333333333, 5.6033127572016461, 4.364533333333334, 5.6140573372206024, 6, 1.833331433171776, 34.441345153706862
DP 83, 0.7, 7.825, 34.334583333333335, 5.736646090534979, 4.5245333333333333, 5.6712001943634593, 6, 1.8715597474495576, 35.807666997334159
DP 84, 0.7, 7.8283333333333331, 34.734583333333333, 5.8699794238683127, 4.6845333333333334, 5.7283430515063163, 6, 1.9443620981660785, 37.689347531720813
DP 85, 0.7, 7.831666666666667, 34.234583333333333, 5.64775720164609, 4.8445333333333336, 5.3936491739552963, 6, 1.7155088989738216, 35.651436631075107
DP 86, 0.7, 7.835, 34.634583333333332, 5.7810905349794233, 4.2365333333333339, 5.4507920310981532, 6, 1.79540242343463, 32.771078053028866
DP 87, 0.7, 7.8383333333333338, 34.434583333333336, 5.914423868312757, 4.3965333333333341, 5.50793488824101, 6, 1.8555384411174913, 34.108353735420337
DP 88, 0.7, 7.8416666666666668, 34.834583333333335, 5.6922016460905347, 4.5565333333333333, 5.565077745383868, 6, 1.8881043778640603, 35.646541253535815
DP 89, 0.7, 7.845, 34.184583333333336, 5.8255349794238684, 4.7165333333333335, 5.622220602526725, 6, 1.9440195501296968, 36.648135956377551
DP 90, 0.7, 7.8483333333333336, 34.584583333333335, 5.9588683127572013, 4.8765333333333336, 5.6793634596695819, 6, 1.8690984042809609, 38.539496571989289
DP 91, 0.7, 7.8516666666666666, 34.384583333333332, 5.61812757201646, 4.268533333333334, 5.7365063168124388, 6, 1.940768657299075, 34.587112434668505
DP 92, 0.7, 7.855, 34.78458333333333, 5.751460905349794, 4.4285333333333341, 5.4018124392614189, 6, 1.7590324781188704, 33.725429380035244
DP 93, 0.7, 7.8583333333333334, 34.284583333333337, 5.8847942386831278, 4.5885333333333334, 5.4589552964042758, 6, 1.8493890055781148, 34.830223192599036
DP 94, 0.7, 7.8616666666666664, 34.684583333333336, 5.6625720164609055, 4.7485333333333335, 5.5160981535471327, 6, 1.7873814278902114, 36.378819162398806
DP 95, 0.7, 7.865, 34.484583333333333, 5.7959053497942383, 4.9085333333333336, 5.57324101068999, 6, 1.7810675905561877, 37.74779155331391
DP 96, 0.7, 7.8683333333333332, 34.884583333333332, 5.9292386831275721, 4.300533333333334, 5.6303838678328475, 6, 2.0033278087264, 34.7344333698608
DP 97, 0.7, 7.871666666666667, 34.122083333333336, 5.70701646090535, 4.4605333333333341, 5.6875267249757044, 6, 1.8507602850488276, 35.376569248735379
DP 98, 0.7, 7.875, 34.522083333333335, 5.8403497942386826, 4.6205333333333334, 5.7446695821185614, 6, 1.7439955973237966, 37.247471536980669
DP 99, 0.7, 7.8783333333333339, 34.322083333333332, 5.9736831275720164, 4.7805333333333335, 5.3539990281827015, 6, 1.781493204238225, 35.356160837112313
DP 100, 0.7, 7.8816666666666668, 34.72208333333333, 5.6329423868312753, 4.9405333333333337, 5.4111418853255584, 6, 1.778646667261256, 36.816760093077221
DP 101, 0.7, 7.885, 34.222083333333337, 5.7662757201646091, 4.1789333333333341, 5.4682847424684153, 6, 1.864513652298049, 32.282262390515115
DP 102, 0.7, 7.8883333333333336, 34.622083333333336, 5.899609053497942, 4.3389333333333333, 5.5254275996112732, 6, 1.8748257161808262, 34.059789449694037
